"Ticker","Nome","Negócios","Última (R$)","Variação"
"FLRY3","Fleury","1.254.600","14,31","+0,63%"
"MULT3","Multiplan","1.247.500","22,97","+0,79%"
"DASA3","Dasa","1.172.400","4,30","+0,70%"
"HYPE3","Hypera","1.169.700","29,95","+0,84%"
"SLCE3","SLC Agrícola","1.089.800","18,31","+0,11%"
"MATD3","Mater Dei","1.047.100","5,27","-4,87%"
"ARZZ3","Arezzo","1.027.800","50,97","+0,02%"
"PSSA3","Porto Seguro","1.027.800","30,30","-0,49%"
"GGPS3","GPS","1.013.200","18,67","-0,16%"
"ENAT3","Enauta","977.000","22,14","+1,33%"
"AMBP3","Ambipar","965.200","8,73","+2,22%"
"DXCO3","Dexco","957.600","7,49","-0,66%"
"VIVT3","Vivo","947.400","45,93","+0,07%"
"DIRR3","Direcional","941.200","24,94","-0,87%"
"BPAN4","Banco Pan","929.900","9,32","+0,32%"
"CURY3","Cury","928.700","18,78","+0,00%"
"MILS3","Mills","869.900","12,37","-0,16%"
"ZAMP3","Zamp","848.800","2,99","+0,00%"
"KLBN4","Klabin","843.200","4,21","+0,24%"
"EGIE3","Engie","843.100","43,98","+0,46%"
"RECV3","PetroRecôncavo","826.600","19,98","+1,58%"
"TTEN3","3tentos","800.800","9,97","+0,20%"
"ODPV3","Odontoprev","789.400","11,43","-2,06%"
"BRKM5","Braskem","788.100","19,15","-0,26%"
"NGRD3","Neogrid","771.200","0,96","+1,05%"
"BRSR6","Banrisul","770.500","11,29","+1,16%"
"SBFG3","Grupo SBF","765.900","12,35","+0,65%"
"CASH3","Méliuz","744.200","5,44","+1,87%"
"MYPK3","Iochpe-Maxion","721.700","11,23","+0,18%"
"CSMG3","COPASA","712.000","20,61","+0,73%"
"LIGT3","Light","695.300","5,04","-0,98%"
"CPFE3","CPFL Energia","688.000","34,84","-0,49%"
"ELET6","Eletrobras","687.500","40,35","-0,30%"
"MTRE3","Mitre Realty","641.800","3,98","+0,76%"
"POSI3","Positivo","640.100","9,28","+0,65%"
"SAPR4","Sanepar","619.900","5,70","+0,18%"
"PLPL3","Plano&Plano","617.900","9,91","+4,54%"
"TRIS3","Trisul","591.000","4,68","+0,86%"
"SHUL4","Schulz","580.400","6,13","+0,33%"
"TEND3","Construtora Tenda","578.300","11,75","+0,69%"
"SMTO3","São Martinho","566.300","27,05","+0,52%"
"GRND3","Grendene","565.900","6,15","-0,16%"
"CAML3","Camil Alimentos","562.400","9,99","+0,50%"
"SRNA3","Serena Energia","562.100","9,18","+0,66%"
"RANI3","Irani","552.200","8,65","-1,03%"
"KRSA3","Kora Saúde","524.400","0,68","-2,86%"
"AZEV3","Azevedo & Travassos","487.700","1,26","-4,55%"
"ENJU3","Enjoei","475.200","2,74","+2,24%"
"FIQE3","Unifique","474.600","3,74","+3,89%"
"CSED3","Cruzeiro do Sul Educacional","449.200","4,34","-0,91%"
"INTB3","Intelbras","448.000","23,25","-2,15%"
"MDIA3","M. Dias Branco","441.600","33,30","-0,83%"
"EVEN3","Even","429.100","6,64","+0,45%"
