index;Publishing Year;Book Name;Author;language_code;Author_Rating;Book_average_rating;Book_ratings_count;genre;gross sales;publisher revenue;sale price;sales rank;Publisher ;units sold
987;19620;ÐžÐ´Ð¸Ð½ Ð´ÐµÐ½ÑŒ Ð˜Ð²Ð°Ð½Ð° Ð”ÐµÐ½Ð¸ÑÐ¾Ð²Ð¸Ñ‡Ð°;Aleksandr Solzhenitsyn, H.T. Willetts;eng;Intermediate;394;61678;genre fiction;64692;388152;599;1166;Hachette Book Group;108
988;19950;The Diamond Age;Neal Stephenson;eng;Excellent;419;61836;genre fiction;97092;582552;899;1167;Macmillan;108
989;19590;A Canticle for Leibowitz;Walter M. Miller Jr.;eng;Intermediate;397;66721;genre fiction;10692;0;99;1167;Amazon Digital Services,  Inc.;108
990;-4410;á¼ˆÎ½Ï„Î¹Î³ÏŒÎ½Î·;Sophocles, J.E. Thomas;eng;Intermediate;36;67608;genre fiction;10692;64152;99;1167;Amazon Digital Services,  Inc.;108
991;20090;Brooklyn;Colm TÃ³ibÃ­n;eng;Intermediate;363;55459;genre fiction;165996;995976;1537;1168;Amazon Digital Services,  Inc.;108
992;20110;Wither;Lauren DeStefano;eng;Intermediate;381;84776;genre fiction;41256;0;382;1169;Amazon Digital Services,  Inc.;108
993;20160;Hillbilly Elegy. A Memoir of a Family and Culture in Crisis;J.D. Vance;eng;Intermediate;399;80737;genre fiction;43092;0;399;1169;Amazon Digital Services,  Inc.;108
994;20030;Crossroads of Twilight;Robert Jordan;en-US;Intermediate;382;61361;genre fiction;43092;0;399;1170;Amazon Digital Services,  Inc.;108
995;18710;The Red Badge of Courage;Stephen Crane;eng;Novice;321;68448;genre fiction;118692;712152;1099;1173;Penguin Group (USA) LLC;108
996;20140;What If?: Serious Scientific Answers to Absurd Hypothetical Questions;Randall Munroe;eng;Excellent;417;60236;genre fiction;11502;69012;1065;1174;Penguin Group (USA) LLC;108
997;19990;Gardens of the Moon;Steven Erikson;eng;Intermediate;385;57993;genre fiction;43092;0;399;1175;Amazon Digital Services,  Inc.;108
998;20060;A Bruxa de Portobello;Paulo Coelho;eng;Intermediate;351;51461;genre fiction;132732;796392;1229;1179;HarperCollins Publishers;108
999;19780;A Swiftly Tilting Planet;Madeleine L'Engle;eng;Excellent;413;75851;genre fiction;32292;0;299;1182;Amazon Digital Services,  Inc.;108
1000;20030;Gregor the Overlander;Suzanne Collins;eng;Intermediate;399;66823;genre fiction;32292;0;299;1183;Amazon Digital Services,  Inc.;108
